日時,買値,売値,出来高,スプレッド
2022-01-21 00:52:44.900,24659.015,24647.235,,11.78
2022-01-21 00:52:50.000,24670.335,24658.07,,12.265
2022-01-21 00:52:55.000,24672.845,24661.885,,10.96
2022-01-21 00:53:00.000,24673.885,24661.96,,11.925
2022-01-21 00:53:05.000,24674.38,24663.66,,10.72
2022-01-21 00:53:10.000,24674.67,24667.56,,7.11
2022-01-21 00:53:15.000,24674.995,24664.65,,10.345
2022-01-21 00:53:20.000,24674.355,24662.275,,12.08
2022-01-21 00:53:25.100,24666.41,24654.58,,11.83
2022-01-21 00:53:30.100,24664.245,24652.335,,11.91
2022-01-21 00:53:35.100,24668.57,24657.55,,11.02
2022-01-21 00:53:40.100,24671.94,24659.71,,12.23
2022-01-21 00:53:45.100,24670.905,24659.58,,11.325
2022-01-21 00:53:50.100,24670.67,24658.01,,12.66
2022-01-21 00:53:55.100,24671.95,24658.71,,13.24
2022-01-21 00:54:00.100,24669.645,24660.5,,9.145
2022-01-21 00:54:05.200,24671.875,24660.63,,11.245
2022-01-21 00:54:10.200,24676.08,24670.035,,6.045
2022-01-21 00:54:15.200,24680.285,24667.9,,12.385
2022-01-21 00:54:20.200,24682.41,24680.38,,2.03
2022-01-21 00:54:25.200,24694.42,24682.935,,11.485
2022-01-21 00:54:30.300,24679.83,24673.01,,6.82
2022-01-21 00:54:35.300,24676.67,24668.02,,8.65
2022-01-21 00:54:40.300,24679.215,24669.47,,9.745
2022-01-21 00:54:45.300,24683.14,24677.645,,5.495
2022-01-21 00:54:50.300,24691.92,24677.745,,14.175
2022-01-21 00:54:55.300,24683.58,24677.015,,6.565
2022-01-21 00:55:00.300,24690.84,24683.5,,7.34
2022-01-21 00:55:05.400,24683.255,24679.34,,3.915
2022-01-21 00:55:10.400,24687.065,24678.44,,8.625
2022-01-21 00:55:15.400,24683.985,24672.645,,11.34
2022-01-21 00:55:20.400,24693.27,24672.725,,20.545
2022-01-21 00:55:25.400,24692.265,24681.28,,10.985
2022-01-21 00:55:30.400,24694.05,24681.895,,12.155
2022-01-21 00:55:35.400,24694.6,24681.615,,12.985
2022-01-21 00:55:40.500,24694.225,24681.815,,12.41
2022-01-21 00:55:45.500,24692.31,24682.57,,9.74
2022-01-21 00:55:50.500,24693.775,24681.99,,11.785
2022-01-21 00:55:55.500,24689.755,24677.95,,11.805
2022-01-21 00:56:00.500,24690.0,24681.715,,8.285
2022-01-21 00:56:05.600,24690.0,24682.67,,7.33
2022-01-21 00:56:10.600,24690.0,24682.215,,7.785
2022-01-21 00:56:15.600,24690.0,24685.73,,4.27
2022-01-21 00:56:20.600,24689.335,24686.295,,3.04
2022-01-21 00:56:25.600,24691.64,24681.445,,10.195
2022-01-21 00:56:30.600,24692.51,24679.705,,12.805
2022-01-21 00:56:35.700,24687.88,24669.61,,18.27
2022-01-21 00:56:40.700,24685.97,24672.575,,13.395
2022-01-21 00:56:45.700,24685.97,24676.89,,9.08
2022-01-21 00:56:50.700,24685.97,24676.52,,9.45
2022-01-21 00:56:55.700,24685.66,24675.615,,10.045
2022-01-21 00:57:00.700,24691.59,24686.45,,5.14
2022-01-21 00:57:05.700,24695.685,24680.94,,14.745
2022-01-21 00:57:10.800,24679.89,24671.49,,8.399
2022-01-21 00:57:15.800,24679.29,24672.285,,7.005
2022-01-21 00:57:20.800,24685.08,24677.245,,7.835
2022-01-21 00:57:25.800,24683.52,24680.255,,3.265
2022-01-21 00:57:30.900,24688.7,24676.37,,12.33
2022-01-21 00:57:35.900,24692.885,24678.81,,14.075
2022-01-21 00:57:40.900,24698.935,24690.71,,8.225
